team,lead_pts,season_pts,goals_pg,goal_diff,shots,on_target,free_kicks,corner_kicks,yellow_cards,red_cards
Man City,78,89.0,2.45,64.0,666.0,399.0,384.0,269.0,56.0,5.0
Man United,89,89.0,2.34,56.0,592.0,369.0,367.0,279.0,51.0,1.0
Arsenal,73,70.0,1.95,25.0,585.0,352.0,374.0,263.0,67.0,4.0
Tottenham,72,69.0,1.74,25.0,635.0,373.0,340.0,283.0,45.0,3.0
Newcastle,41,65.0,1.47,5.0,451.0,255.0,387.0,172.0,67.0,2.0
Chelsea,75,64.0,1.71,19.0,616.0,334.0,403.0,254.0,75.0,4.0
Everton,63,56.0,1.32,10.0,474.0,253.0,449.0,179.0,61.0,1.0
Liverpool,61,52.0,1.24,7.0,612.0,330.0,366.0,308.0,56.0,5.0
Fulham,43,52.0,1.26,-3.0,489.0,301.0,350.0,188.0,54.0,0.0
West Brom,49,47.0,1.18,-7.0,470.0,264.0,385.0,212.0,48.0,1.0
Swansea,46,47.0,1.16,-7.0,420.0,241.0,309.0,204.0,40.0,2.0
Norwich,44,47.0,1.37,-14.0,474.0,254.0,384.0,167.0,59.0,3.0
Sunderland,39,45.0,1.18,-1.0,417.0,233.0,389.0,179.0,60.0,3.0
Stoke,42,45.0,0.95,-17.0,340.0,151.0,423.0,165.0,61.0,2.0
Wigan,36,43.0,1.11,-20.0,456.0,258.0,447.0,209.0,68.0,3.0
Aston Villa,41,38.0,0.97,-16.0,404.0,203.0,393.0,218.0,70.0,2.0
QPR,25,37.0,1.13,-23.0,494.0,264.0,389.0,195.0,57.0,9.0
Bolton,0,36.0,1.21,-31.0,447.0,275.0,429.0,211.0,51.0,5.0
Blackburn,0,31.0,1.26,-30.0,415.0,238.0,425.0,166.0,68.0,5.0
Wolves,0,25.0,1.05,-42.0,411.0,229.0,345.0,206.0,64.0,4.0
Reading,28,39.4,0.8,-20.1,196.11,105.36,209.4,139.89,25.68,0.44
Southampton,41,39.4,1.0,-20.1,240.88,131.63,204.61,113.72,23.28,1.79
West Ham,46,39.4,0.98,-20.1,266.64,136.07,205.7,141.57,30.7,2.75
